                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3208,                0.87291,                 1.3646,                0.83243,                0.75696,                 0.8289,                0.47647,                 1.5536,                0.94586,                 1.4887,               0.006634,               0.006634,               0.006634
                     37,                 1.3224,                0.87106,                 1.3649,                0.85384,                0.74582,                0.83153,                0.48068,                 1.5676,                 0.9195,                 1.5069,               0.006535,               0.006535,               0.006535
                     38,                 1.3152,                0.85683,                 1.3613,                0.85008,                 0.7688,                0.84148,                 0.4849,                 1.5613,                 0.9133,                 1.4959,               0.006436,               0.006436,               0.006436
                     39,                 1.2916,                0.84136,                 1.3454,                0.81502,                0.77936,                0.83031,                0.48887,                 1.5564,                0.90818,                 1.4913,               0.006337,               0.006337,               0.006337
                     40,                 1.2871,                0.83311,                 1.3371,                0.82718,                0.77925,                0.83918,                0.49314,                 1.5289,                0.90141,                 1.4654,               0.006238,               0.006238,               0.006238
                     41,                 1.2814,                0.82797,                 1.3401,                0.84985,                 0.7962,                0.84935,                0.49461,                 1.5447,                0.89335,                 1.4756,               0.006139,               0.006139,               0.006139
                     42,                 1.2644,                0.80978,                  1.322,                0.81735,                0.76671,                0.83176,                0.49143,                 1.5469,                0.88397,                 1.4904,                0.00604,                0.00604,                0.00604
                     43,                 1.2466,                 0.7939,                 1.3118,                0.87135,                0.75466,                0.84544,                0.50109,                 1.5288,                0.86293,                 1.4698,               0.005941,               0.005941,               0.005941
                     44,                 1.2553,                0.79018,                 1.3121,                0.83728,                0.78829,                0.83745,                0.49744,                 1.5377,                0.89022,                 1.4677,               0.005842,               0.005842,               0.005842
                     45,                 1.2331,                0.77304,                 1.3041,                0.86511,                0.77228,                0.84718,                0.50996,                 1.5324,                0.85033,                 1.4812,               0.005743,               0.005743,               0.005743
                     46,                 1.2175,                0.76323,                 1.2972,                0.83969,                0.79879,                0.84903,                 0.5145,                 1.5065,                0.83732,                 1.4467,               0.005644,               0.005644,               0.005644
                     47,                 1.2131,                0.75597,                 1.2927,                0.86512,                0.76253,                0.85046,                 0.5151,                  1.504,                0.84009,                 1.4645,               0.005545,               0.005545,               0.005545
                     48,                 1.2001,                0.74562,                 1.2801,                0.83774,                0.82033,                0.85329,                0.51942,                 1.5002,                0.85138,                 1.4477,               0.005446,               0.005446,               0.005446
                     49,                 1.1983,                0.74522,                 1.2798,                0.88766,                0.76811,                0.85829,                0.52243,                 1.4831,                0.82795,                 1.4372,               0.005347,               0.005347,               0.005347
                     50,                 1.1974,                0.75694,                 1.2762,                0.83904,                0.79499,                 0.8485,                0.52422,                 1.4813,                0.85448,                 1.4359,               0.005248,               0.005248,               0.005248
                     51,                 1.1702,                0.72636,                 1.2663,                0.84459,                0.79387,                0.85475,                0.52794,                 1.4554,                0.83621,                   1.42,               0.005149,               0.005149,               0.005149
                     52,                 1.1725,                0.72553,                 1.2697,                0.88492,                0.77113,                 0.8584,                0.53193,                 1.4719,                0.82262,                 1.4395,                0.00505,                0.00505,                0.00505
                     53,                 1.1594,                0.71072,                 1.2521,                0.84905,                0.79109,                0.85636,                0.53089,                 1.4683,                0.82489,                 1.4305,               0.004951,               0.004951,               0.004951
                     54,                 1.1417,                0.68931,                 1.2457,                0.85345,                 0.8078,                0.86103,                0.53559,                 1.4683,                0.82107,                 1.4328,               0.004852,               0.004852,               0.004852
                     55,                 1.1351,                 0.6919,                 1.2426,                0.84871,                0.82103,                0.86149,                0.53845,                  1.455,                0.81584,                 1.4288,               0.004753,               0.004753,               0.004753
                     56,                  1.115,                0.68601,                  1.235,                0.89717,                0.77507,                0.86707,                 0.5397,                  1.475,                0.80399,                 1.4432,               0.004654,               0.004654,               0.004654
                     57,                 1.1266,                0.67587,                 1.2363,                0.86259,                0.83565,                0.87793,                0.54618,                 1.4407,                0.79153,                 1.4093,               0.004555,               0.004555,               0.004555
                     58,                  1.112,                0.66729,                 1.2257,                 0.8569,                0.83565,                0.87087,                 0.5463,                 1.4429,                0.80418,                 1.4181,               0.004456,               0.004456,               0.004456
                     59,                 1.1063,                0.66507,                 1.2222,                0.85228,                0.83705,                0.87137,                0.54534,                 1.4396,                0.77545,                 1.4158,               0.004357,               0.004357,               0.004357
                     60,                  1.104,                  0.667,                 1.2197,                  0.859,                0.83149,                0.86779,                0.54905,                 1.4475,                 0.7844,                 1.4324,               0.004258,               0.004258,               0.004258
                     61,                 1.0864,                0.65162,                 1.2104,                0.89683,                0.78691,                 0.8702,                0.55242,                 1.4267,                0.80102,                 1.4149,               0.004159,               0.004159,               0.004159
                     62,                 1.0722,                0.63713,                 1.2044,                0.86877,                0.81601,                0.87293,                   0.56,                 1.4043,                0.78182,                 1.3979,                0.00406,                0.00406,                0.00406
