                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3666,                0.91921,                 1.4062,                0.81835,                 0.7507,                0.81665,                0.45999,                 1.6019,                0.96252,                 1.5437,               0.007822,               0.007822,               0.007822
                     36,                 1.3442,                0.89889,                  1.386,                0.82561,                0.77437,                0.82653,                0.46881,                 1.5682,                0.95486,                 1.5102,               0.007756,               0.007756,               0.007756
                     37,                 1.3423,                  0.901,                 1.3906,                0.83456,                0.74652,                0.82553,                 0.4723,                 1.5761,                0.93504,                 1.5175,                0.00769,                0.00769,                0.00769
                     38,                 1.3439,                0.88667,                 1.3869,                0.81963,                 0.7876,                0.83625,                0.47811,                 1.5621,                0.90047,                 1.5159,               0.007624,               0.007624,               0.007624
                     39,                   1.32,                0.86659,                  1.371,                0.82218,                0.76634,                 0.8278,                0.47603,                 1.5711,                0.93165,                 1.5184,               0.007558,               0.007558,               0.007558
                     40,                 1.3182,                0.85758,                 1.3733,                0.81858,                0.78273,                0.83398,                0.48896,                 1.5283,                 0.9412,                 1.4874,               0.007492,               0.007492,               0.007492
                     41,                 1.3092,                0.85536,                 1.3647,                0.80625,                 0.7876,                0.82798,                0.48116,                 1.5709,                0.94107,                 1.5183,               0.007426,               0.007426,               0.007426
                     42,                 1.2979,                0.84813,                 1.3606,                0.80782,                0.78273,                0.83406,                0.48062,                 1.5238,                0.92783,                 1.4986,                0.00736,                0.00736,                0.00736
                     43,                 1.2816,                0.82245,                  1.338,                0.83984,                0.77925,                0.83756,                0.48739,                 1.5283,                 0.8959,                 1.4841,               0.007294,               0.007294,               0.007294
                     44,                 1.2843,                0.81766,                 1.3428,                0.83293,                 0.7777,                0.83683,                0.48952,                 1.5142,                0.91065,                 1.4739,               0.007228,               0.007228,               0.007228
                     45,                  1.266,                0.80902,                 1.3319,                0.86622,                0.75905,                0.84788,                0.49925,                 1.5137,                 0.8738,                 1.4669,               0.007162,               0.007162,               0.007162
                     46,                 1.2498,                0.80025,                 1.3208,                0.86718,                0.75627,                0.84138,                0.50229,                 1.4917,                0.89672,                 1.4517,               0.007096,               0.007096,               0.007096
                     47,                 1.2484,                0.79467,                 1.3192,                0.85728,                0.75696,                0.83961,                 0.5022,                 1.4971,                0.88299,                 1.4659,                0.00703,                0.00703,                0.00703
                     48,                 1.2324,                0.78484,                 1.3091,                0.86168,                0.80257,                0.85517,                0.51063,                 1.4889,                0.85079,                 1.4559,               0.006964,               0.006964,               0.006964
                     49,                 1.2366,                0.77995,                 1.3141,                 0.8332,                0.80571,                0.85476,                0.51057,                 1.4695,                0.87128,                 1.4387,               0.006898,               0.006898,               0.006898
                     50,                 1.2299,                0.78738,                 1.3012,                0.88457,                0.75557,                0.85423,                0.51653,                 1.4602,                0.87769,                 1.4309,               0.006832,               0.006832,               0.006832
                     51,                 1.2156,                 0.7637,                 1.2952,                0.83182,                 0.8071,                0.85571,                0.50934,                 1.4808,                0.83743,                 1.4438,               0.006766,               0.006766,               0.006766
                     52,                 1.2069,                0.75681,                 1.2858,                0.84258,                0.80362,                0.86401,                0.52728,                  1.446,                0.83034,                 1.4272,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.2043,                0.75078,                 1.2794,                0.82593,                0.82382,                0.86001,                0.52314,                 1.4647,                0.82603,                 1.4397,               0.006634,               0.006634,               0.006634
                     54,                 1.1828,                0.73128,                 1.2711,                0.84931,                0.82033,                0.86526,                0.52769,                 1.4675,                0.81438,                 1.4337,               0.006568,               0.006568,               0.006568
                     55,                 1.1846,                0.72853,                 1.2721,                0.84627,                0.81337,                0.85877,                0.52325,                 1.4764,                0.83019,                 1.4409,               0.006502,               0.006502,               0.006502
                     56,                 1.1708,                0.72026,                 1.2653,                 0.8356,                0.81761,                0.86304,                0.52657,                 1.4667,                0.81355,                 1.4382,               0.006436,               0.006436,               0.006436
                     57,                 1.1644,                0.72396,                 1.2609,                0.85197,                0.80556,                0.85943,                0.52716,                  1.474,                0.79879,                 1.4426,                0.00637,                0.00637,                0.00637
                     58,                 1.1583,                0.71294,                 1.2538,                 0.8432,                 0.8266,                0.86024,                0.53364,                 1.4543,                0.79619,                 1.4397,               0.006304,               0.006304,               0.006304
                     59,                 1.1575,                 0.7086,                 1.2511,                0.84731,                0.83496,                0.87001,                0.53408,                 1.4495,                0.77938,                 1.4255,               0.006238,               0.006238,               0.006238
                     60,                 1.1508,                0.70758,                 1.2449,                0.86612,                0.80919,                0.86639,                0.53415,                 1.4593,                0.79794,                 1.4337,               0.006172,               0.006172,               0.006172
                     61,                 1.1345,                0.69994,                 1.2379,                0.85279,                0.81685,                0.86257,                  0.538,                 1.4418,                0.79324,                 1.4303,               0.006106,               0.006106,               0.006106
                     62,                 1.1296,                0.68541,                 1.2371,                0.85781,                0.82764,                0.86782,                 0.5406,                 1.4316,                0.79101,                 1.4242,                0.00604,                0.00604,                0.00604
                     63,                 1.1221,                0.68863,                 1.2383,                0.87324,                0.82173,                0.86918,                0.54262,                  1.434,                0.79313,                 1.4199,               0.005974,               0.005974,               0.005974
                     64,                 1.1188,                 0.6747,                 1.2308,                0.86574,                0.81279,                 0.8637,                0.53952,                 1.4264,                0.79419,                 1.4219,               0.005908,               0.005908,               0.005908
                     65,                 1.1129,                 0.6696,                 1.2312,                0.86003,                0.82151,                0.87035,                0.54607,                 1.4224,                0.77543,                 1.4202,               0.005842,               0.005842,               0.005842
                     66,                 1.1099,                0.67526,                 1.2294,                0.87806,                0.80641,                0.86312,                0.54304,                  1.423,                0.79892,                 1.4164,               0.005776,               0.005776,               0.005776
                     67,                 1.1024,                0.66602,                 1.2191,                0.87533,                0.81657,                0.86801,                0.55126,                  1.408,                0.79891,                 1.4096,                0.00571,                0.00571,                0.00571
                     68,                 1.0925,                0.65596,                 1.2136,                 0.8641,                 0.8236,                0.87037,                0.55381,                 1.4068,                 0.7772,                 1.4085,               0.005644,               0.005644,               0.005644
