                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8272,                 2.1476,                 1.7493,                0.52694,                0.38936,                0.42376,                0.18728,                 1.8372,                 1.8744,                  1.769,              0.0033272,              0.0033272,              0.0033272
                      2,                 1.7709,                 1.7562,                 1.6592,                0.51561,                0.47011,                0.44821,                 0.2016,                 1.8623,                 1.7449,                 1.7929,              0.0066134,              0.0066134,              0.0066134
                      3,                 1.8949,                 1.9575,                 1.7551,                0.45516,                0.42249,                0.35679,                 0.1459,                 1.9883,                 2.0639,                  1.877,              0.0098525,              0.0098525,              0.0098525
                      4,                 1.9579,                 2.0951,                 1.8241,                0.43089,                0.36474,                0.33359,                 0.1392,                 2.0678,                 2.3468,                  1.925,              0.0097879,              0.0097879,              0.0097879
                      5,                 1.9491,                 2.0345,                 1.8181,                0.50064,                0.38906,                0.41573,                0.17811,                 1.9535,                 2.0001,                 1.8573,              0.0097879,              0.0097879,              0.0097879
                      6,                 1.8823,                 1.9394,                 1.7926,                0.55481,                0.44192,                0.47728,                0.22141,                 1.8334,                 1.7848,                 1.7689,              0.0097171,              0.0097171,              0.0097171
                      7,                 1.8407,                  1.873,                 1.7637,                0.57973,                0.42857,                 0.4855,                0.23939,                 1.7886,                 1.7482,                 1.7845,              0.0096464,              0.0096464,              0.0096464
                      8,                 1.8074,                 1.8078,                 1.7393,                 0.5669,                 0.4539,                0.49275,                 0.2442,                 1.7921,                 1.7293,                 1.7503,              0.0095757,              0.0095757,              0.0095757
                      9,                  1.781,                 1.7633,                 1.7378,                0.56167,                0.47822,                0.51753,                0.25495,                 1.8012,                 1.6416,                 1.7722,               0.009505,               0.009505,               0.009505
                     10,                 1.7672,                 1.7339,                  1.716,                0.64837,                0.47822,                0.54417,                0.27512,                 1.7262,                  1.599,                 1.7198,              0.0094343,              0.0094343,              0.0094343
                     11,                 1.7305,                  1.674,                 1.7095,                0.59988,                0.50126,                0.55077,                0.27429,                 1.7428,                 1.6002,                 1.7407,              0.0093636,              0.0093636,              0.0093636
                     12,                 1.7278,                 1.6647,                 1.6994,                0.67079,                0.49747,                0.57059,                0.28757,                 1.7492,                 1.5889,                 1.7388,              0.0092929,              0.0092929,              0.0092929
                     13,                 1.7158,                 1.6213,                  1.682,                0.67116,                0.52077,                0.61156,                 0.3024,                 1.7202,                 1.4892,                 1.7164,              0.0092221,              0.0092221,              0.0092221
                     14,                 1.6936,                 1.5876,                 1.6739,                0.71244,                 0.4843,                0.58482,                0.30504,                 1.6857,                 1.4829,                 1.7001,              0.0091514,              0.0091514,              0.0091514
                     15,                 1.6845,                 1.5779,                 1.6691,                0.70316,                0.52584,                0.60576,                0.31616,                 1.6719,                 1.4732,                 1.6972,              0.0090807,              0.0090807,              0.0090807
                     16,                 1.6684,                 1.5546,                 1.6527,                0.63858,                0.53495,                0.59472,                0.30928,                 1.6801,                 1.4645,                 1.6612,                0.00901,                0.00901,                0.00901
                     17,                 1.6544,                 1.5157,                 1.6439,                0.68853,                0.54407,                0.62163,                0.32662,                 1.6558,                 1.4391,                 1.6778,              0.0089393,              0.0089393,              0.0089393
                     18,                 1.6306,                 1.4738,                 1.6281,                0.68845,                0.54405,                0.62749,                0.33043,                 1.6416,                 1.3945,                 1.6474,              0.0088686,              0.0088686,              0.0088686
                     19,                 1.6281,                 1.4559,                 1.6295,                0.73055,                0.55117,                0.64796,                0.34154,                   1.62,                 1.3684,                 1.6619,              0.0087979,              0.0087979,              0.0087979
